code,PartyNm,PartyAb,btl,candidateName,first,ALP,LP,GRN,exhausted
A,Australian Labor Party,ALP,False,GALLAGHER Katy,0,0.0,0.0,0.0,0.0
B,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,False,ANGEL Joy,0,0.0,0.0,0.0,0.0
C,United Australia Party,UAPP,False,SAVOULIDIS James,0,0.0,0.0,0.0,0.0
D,Liberal,LP,False,SESELJA Zed,0,0.0,0.0,0.0,0.0
E,David Pocock,DAVI,False,POCOCK David,0,0.0,0.0,0.0,0.0
F,Kim for Canberra,KCBR,False,RUBENSTEIN Kim,0,0.0,0.0,0.0,0.0
G,Australian Progressives,AUP,False,FAULKNER Therese,0,0.0,0.0,0.0,0.0
H,The Greens,GRN,False,GORENG GORENG Tjanara,0,0.0,0.0,0.0,0.0
I,Legalise Cannabis Australia,HMP,False,KATELARIS Andrew,0,0.0,0.0,0.0,0.0
J,Animal Justice Party,AJP,False,del VALLE Yana,0,0.0,0.0,0.0,0.0
K,Informed Medical Options Party,IMO,False,SIMMS Michael,0,0.0,0.0,0.0,0.0
L,Australian Labor Party,ALP,True,GALLAGHER Katy,916,0.3211781206171108,0.0,0.0,0.0
M,Australian Labor Party,ALP,True,NORTHAM Maddy,1,0.0003506311360448808,0.0,0.0,0.0
N,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,True,ANGEL Joy,18,0.001402524544179523,0.001402524544179523,0.003155680224403927,0.0003506311360448808
O,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,True,HAYDON John,1,0.0,0.0,0.0003506311360448808,0.0
P,United Australia Party,UAPP,True,SAVOULIDIS James,58,0.0035063113604488078,0.01367461430575035,0.001402524544179523,0.0017531556802244039
Q,United Australia Party,UAPP,True,PAGE Tracey,0,0.0,0.0,0.0,0.0
R,Liberal,LP,True,SESELJA Zed,704,0.0,0.24684431977559607,0.0,0.0
S,Liberal,LP,True,LAM Kacey,17,0.0021037868162692847,0.0035063113604488078,0.0003506311360448808,0.0
T,David Pocock,DAVI,True,POCOCK David,626,0.1076437587657784,0.033660589060308554,0.07363253856942496,0.00455820476858345
U,David Pocock,DAVI,True,DOUBE Clare,0,0.0,0.0,0.0,0.0
V,Kim for Canberra,KCBR,True,RUBENSTEIN Kim,104,0.014025245441795231,0.005259467040673212,0.016479663394109396,0.0007012622720897616
W,Kim for Canberra,KCBR,True,HUYNH Kim,2,0.0,0.0,0.0007012622720897616,0.0
X,Australian Progressives,AUP,True,FAULKNER Therese,8,0.0010518934081346423,0.0,0.0017531556802244039,0.0
Y,Australian Progressives,AUP,True,LIN Stephen,0,0.0,0.0,0.0,0.0
Z,The Greens,GRN,True,GORENG GORENG Tjanara,303,0.0,0.0,0.10624123422159888,0.0
a,The Greens,GRN,True,CRUZ James,7,0.0003506311360448808,0.0,0.0021037868162692847,0.0
b,Legalise Cannabis Australia,HMP,True,KATELARIS Andrew,41,0.00455820476858345,0.0021037868162692847,0.006661991584852735,0.0010518934081346423
c,Legalise Cannabis Australia,HMP,True,STANVIC Michelle,0,0.0,0.0,0.0,0.0
d,Animal Justice Party,AJP,True,del VALLE Yana,22,0.0017531556802244039,0.0017531556802244039,0.0024544179523141654,0.0017531556802244039
e,Animal Justice Party,AJP,True,FAHIZ Jannah,0,0.0,0.0,0.0,0.0
f,Informed Medical Options Party,IMO,True,SIMMS Michael,14,0.0007012622720897616,0.0021037868162692847,0.001402524544179523,0.0007012622720897616
g,Informed Medical Options Party,IMO,True,LIDDICOAT Mary-Jane,1,0.0,0.0,0.0003506311360448808,0.0
h,Independent,IND,True,LI Fuxin,9,0.001402524544179523,0.0010518934081346423,0.0003506311360448808,0.0003506311360448808
