GroupAb,GroupNm,TotalPercentage
LP,Liberal,25.14
ALP,Australian Labor Party,33.41
AJP,Animal Justice Party,0.64
AUP,Australian Progressives,0.35
DAVI,David Pocock,21.15
IMO,Informed Medical Options Party,0.49
KCBR,Kim for Canberra,4.36
HMP,Legalise Cannabis Australia,1.49
SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,0.54
GRN,The Greens,10.07
UAPP,United Australia Party,2.13
UNAM,Unendorsed/Ungrouped Amalgamated,0.21
notes,2022-06-01T17:40:22,0.8660225432588148
