code,party,candidate,first,Katy Gallagher,Zed Seselja,Penny Kyburz,exhausted votes
H,Liberals,SESELJA Zed,84846,0,84846.0,0.0,0.0
I,Liberals,GUNNING Robert,2650,0,1812.0,700.0,138.0
J,Greens,KYBURZ Penny,45916,0,0.0,45916.0,0.0
K,Greens,DAVIDSON Emma,1978,0,23.0,1953.0,2.0
L,Anthony Pesec,PESEC Anthony,12359,0,4000.0,7959.0,400.0
M,Anthony Pesec,KENT Gary,212,0,71.0,133.0,8.0
N,Fraser Anning,VAN DUREN Shane,2392,0,1843.0,474.0,75.0
O,Fraser Anning,BIRKETT Scott,72,0,51.0,16.0,5.0
P,United Australia,WALTER Peter,5985,0,3948.0,1860.0,177.0
Q,United Australia,HODGSON Rebecah Elen,160,0,105.0,45.0,10.0
R,Sustainable Australia,HAYDON John,4169,0,1353.0,2742.0,74.0
S,Sustainable Australia,ANGEL Joy,288,0,58.0,223.0,7.0
T,Labor,GALLAGHER Katy,105019,90078,2623.0226625662854,12051.648844496744,266.32849293937795
U,Labor,WAITES Nancy,1332,0,191.0,1120.0,21.0
V,ungrouped,HOUSTON Nick,1322,0,408.0,856.0,58.0
W,ungrouped,COWTON Gary,301,0,84.0,202.0,15.0
X,ungrouped,KIM David,1230,0,989.0,198.0,43.0
