,voter_id
1,3029
2,618
3,555
4,353
5,2395
6,176777
7,25626
8,378
9,169
10,183
11,213
12,32009
13,1393
14,543
15,1067
16,542
17,20235
18,3088
19,370
20,81
21,89
22,75
23,227
24,216
