code,PartyNm,PartyAb,btl,candidateName,first,ALP,LP,Pocock,exhausted
A,Australian Labor Party,ALP,False,GALLAGHER Katy,0,0.0,0.0,0.0,0.0
B,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,False,ANGEL Joy,0,0.0,0.0,0.0,0.0
C,United Australia Party,UAPP,False,SAVOULIDIS James,0,0.0,0.0,0.0,0.0
D,Liberal,LP,False,SESELJA Zed,0,0.0,0.0,0.0,0.0
E,David Pocock,DAVI,False,POCOCK David,0,0.0,0.0,0.0,0.0
F,Kim for Canberra,KCBR,False,RUBENSTEIN Kim,0,0.0,0.0,0.0,0.0
G,Australian Progressives,AUP,False,FAULKNER Therese,0,0.0,0.0,0.0,0.0
H,The Greens,GRN,False,GORENG GORENG Tjanara,0,0.0,0.0,0.0,0.0
I,Legalise Cannabis Australia,HMP,False,KATELARIS Andrew,0,0.0,0.0,0.0,0.0
J,Animal Justice Party,AJP,False,del VALLE Yana,0,0.0,0.0,0.0,0.0
K,Informed Medical Options Party,IMO,False,SIMMS Michael,0,0.0,0.0,0.0,0.0
L,Australian Labor Party,ALP,True,GALLAGHER Katy,94761,0.33224176679510686,0.0,0.0,0.0
M,Australian Labor Party,ALP,True,NORTHAM Maddy,471,0.0012131114204272536,8.064035453707178e-05,0.00035061023711770335,7.012204742354067e-06
N,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,True,ANGEL Joy,1558,0.001563721657544957,0.0012201236251696077,0.00238765571477156,0.0002910064968076938
O,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,True,HAYDON John,73,7.012204742354067e-05,6.310984268118661e-05,0.00011219527587766508,1.05183071135311e-05
P,United Australia Party,UAPP,True,SAVOULIDIS James,6027,0.0028504612277669285,0.01034300199497225,0.0063074781657474835,0.0016303376025973207
Q,United Australia Party,UAPP,True,PAGE Tracey,117,3.1554921340593306e-05,0.00019283563041473686,0.00014375019721825838,4.20732284541244e-05
R,Liberal,LP,True,SESELJA Zed,69673,0.0,0.24428067050701746,0.0,0.0
S,Liberal,LP,True,LAM Kacey,1072,0.0004067078750565359,0.0023210397697191964,0.0009922269710431004,3.856712608294737e-05
T,David Pocock,DAVI,True,POCOCK David,60215,0.0,0.0,0.21111995428042507,0.0
U,David Pocock,DAVI,True,DOUBE Clare,89,3.5061023711770335e-05,1.05183071135311e-05,0.00025945157546710047,7.012204742354067e-06
V,Kim for Canberra,KCBR,True,RUBENSTEIN Kim,12463,0.011107332311888842,0.0029381137870463543,0.029114674090254086,0.0005364336627900862
W,Kim for Canberra,KCBR,True,HUYNH Kim,150,0.0001367379924759043,8.41464569082488e-05,0.0003015248039212249,3.5061023711770337e-06
X,Australian Progressives,AUP,True,FAULKNER Therese,675,0.0007432937026895311,0.0001963417327859139,0.0013358250034184499,9.115866165060287e-05
Y,Australian Progressives,AUP,True,LIN Stephen,44,4.557933082530144e-05,1.7530511855885168e-05,8.765255927942584e-05,3.5061023711770337e-06
Z,The Greens,GRN,True,GORENG GORENG Tjanara,28910,0.047493662719964094,0.004035523829224765,0.04846485307678013,0.0013673799247590432
a,The Greens,GRN,True,CRUZ James,469,0.0008554889785671962,3.5061023711770335e-05,0.0007503059074318852,3.5061023711770337e-06
b,Legalise Cannabis Australia,HMP,True,KATELARIS Andrew,4488,0.004747262610573704,0.0029451259917887083,0.006601990764926354,0.0014410080745537609
c,Legalise Cannabis Australia,HMP,True,STANVIC Michelle,62,3.856712608294737e-05,3.1554921340593306e-05,0.00012972578773355023,1.7530511855885168e-05
d,Animal Justice Party,AJP,True,del VALLE Yana,1854,0.0020405515800250335,0.001027287994754871,0.0028574734325092824,0.0005750007888730335
e,Animal Justice Party,AJP,True,FAHIZ Jannah,38,2.804881896941627e-05,1.4024409484708135e-05,8.064035453707178e-05,1.05183071135311e-05
f,Informed Medical Options Party,IMO,True,SIMMS Michael,1377,0.0005925313007289186,0.0013112822868202106,0.002170277367758584,0.0007538120098030622
g,Informed Medical Options Party,IMO,True,LIDDICOAT Mary-Jane,81,3.1554921340593306e-05,7.713425216589474e-05,0.00012621968536237322,4.9085433196478474e-05
h,Independent,IND,True,LI Fuxin,550,0.000841464569082488,0.00032957362289064114,0.0006731716552659904,8.41464569082488e-05
